epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.9872,2.15557,3.83974,0.83579,0,0,0,0,2.03286,4.31689,0.78483,0.000362927,0.000362927,0.000362927
2,123.95,2.25221,2.84447,0.78442,0.04474,0.56596,0.17584,0.0924,2.08126,3.16618,0.7668,0.000718741,0.000718741,0.000718741
3,183.285,2.18643,2.19963,0.75571,0.48238,0.40068,0.25373,0.14288,2.01893,1.87598,0.75529,0.00105989,0.00105989,0.00105989
4,244.645,2.12343,1.94947,0.7639,0.46716,0.50363,0.27192,0.14478,1.99521,1.75844,0.75824,0.00104501,0.00104501,0.00104501
5,307.907,2.04252,1.78498,0.78569,0.31331,0.65217,0.3124,0.1866,1.82597,1.643,0.75587,0.00102301,0.00102301,0.00102301
6,368.395,2.0255,1.66451,0.76216,0.30417,0.62166,0.32672,0.19391,1.79384,1.5611,0.74953,0.00100101,0.00100101,0.00100101
7,428.414,2.02395,1.6392,0.75643,0.31401,0.53931,0.33788,0.20831,1.76689,1.43942,0.75076,0.000979013,0.000979013,0.000979013
8,489.514,1.89983,1.51343,0.73981,0.2915,0.57524,0.35665,0.22441,1.71377,1.3923,0.74685,0.000957015,0.000957015,0.000957015
9,550.206,2.05059,1.6103,0.7891,0.26016,0.40712,0.27596,0.16188,1.79986,1.39948,0.74893,0.000935018,0.000935018,0.000935018
10,610.066,1.92637,1.50867,0.76366,0.29806,0.62334,0.40416,0.26328,1.68566,1.28915,0.74624,0.00091302,0.00091302,0.00091302
11,670.437,1.83023,1.44871,0.75122,0.33183,0.58221,0.42352,0.27448,1.73549,1.296,0.74824,0.000891022,0.000891022,0.000891022
12,737.896,1.89735,1.42847,0.73868,0.36572,0.64962,0.45236,0.2969,1.6981,1.2397,0.7427,0.000869024,0.000869024,0.000869024
13,788.661,1.84014,1.37717,0.75038,0.3877,0.61554,0.47285,0.30966,1.71258,1.20967,0.74487,0.000847026,0.000847026,0.000847026
14,846.837,1.8349,1.39538,0.76379,0.45147,0.60108,0.5152,0.35522,1.68032,1.18335,0.73926,0.000825029,0.000825029,0.000825029
15,904.807,1.7133,1.287,0.74394,0.51236,0.61689,0.55625,0.396,1.56505,1.10634,0.74148,0.000803031,0.000803031,0.000803031
16,964.235,1.80404,1.29841,0.74771,0.49296,0.64585,0.58202,0.39957,1.6645,1.09869,0.74239,0.000781033,0.000781033,0.000781033
17,1031,1.89535,1.35243,0.75928,0.5011,0.63004,0.60153,0.42635,1.59455,1.07518,0.74234,0.000759035,0.000759035,0.000759035
18,1080.43,1.81006,1.25977,0.75164,0.6456,0.58752,0.6241,0.433,1.64396,1.05988,0.73864,0.000737037,0.000737037,0.000737037
19,1145.15,1.76889,1.19616,0.73719,0.5884,0.73763,0.65278,0.46887,1.57388,1.007,0.73923,0.00071504,0.00071504,0.00071504
20,1203.17,1.78793,1.23039,0.76558,0.58442,0.75257,0.6591,0.47861,1.52805,0.97859,0.74072,0.000693042,0.000693042,0.000693042
21,1261.9,1.72895,1.14697,0.7388,0.56999,0.75566,0.66383,0.47466,1.557,0.97438,0.73934,0.000671044,0.000671044,0.000671044
22,1320.93,1.76483,1.1822,0.74863,0.56638,0.75218,0.66891,0.47543,1.55793,0.98562,0.74065,0.000649046,0.000649046,0.000649046
23,1379.47,1.74411,1.16731,0.75576,0.63784,0.71347,0.67644,0.48533,1.59891,0.94508,0.73908,0.000627048,0.000627048,0.000627048
24,1437.88,1.76467,1.14353,0.74146,0.58461,0.73312,0.66182,0.48494,1.50006,0.97891,0.73929,0.000605051,0.000605051,0.000605051
