epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.7951,1.76055,3.61001,0.80595,0,0,0,0,1.43127,4.24612,0.80531,0.000408333,0.000408333,0.000408333
2,162.387,1.60884,2.41516,0.78211,0.02826,0.56999,0.19743,0.12482,1.17368,2.87104,0.80252,0.000808665,0.000808665,0.000808665
3,282.579,1.48484,2.07348,0.77896,0.29329,0.39292,0.29657,0.20073,1.0934,1.87143,0.79823,0.0011925,0.0011925,0.0011925
4,387.685,1.4038,1.88337,0.77922,0.24873,0.61491,0.30637,0.21785,1.02464,1.73059,0.79565,0.00117575,0.00117575,0.00117575
5,533.408,1.31692,1.80524,0.78347,0.24732,0.73583,0.34533,0.24044,1.1745,1.739,0.8066,0.001151,0.001151,0.001151
6,654.889,1.47439,1.71383,0.78717,0.36808,0.56009,0.39252,0.28155,1.04602,1.61042,0.80209,0.00112625,0.00112625,0.00112625
7,871.384,1.33365,1.69849,0.78285,0.35741,0.58229,0.41826,0.29887,1.01009,1.5639,0.80673,0.0011015,0.0011015,0.0011015
8,1010.04,1.20712,1.5752,0.77723,0.31035,0.75055,0.4806,0.36437,0.92492,1.51282,0.79513,0.00107675,0.00107675,0.00107675
9,1137.04,1.24835,1.56498,0.77798,0.47474,0.64848,0.52196,0.38945,1.01542,1.49158,0.7979,0.001052,0.001052,0.001052
10,1210.65,1.28201,1.5134,0.78145,0.42688,0.65819,0.51649,0.38571,0.9602,1.37838,0.79911,0.00102725,0.00102725,0.00102725
11,1269.51,1.21133,1.45064,0.7832,0.47294,0.72516,0.55934,0.41895,0.96392,1.2945,0.79615,0.0010025,0.0010025,0.0010025
12,1327.4,1.16856,1.40001,0.77514,0.48148,0.76105,0.6035,0.46288,0.90703,1.2247,0.79543,0.00097775,0.00097775,0.00097775
13,1385.34,1.11504,1.33834,0.77941,0.51011,0.81086,0.65441,0.49434,0.96911,1.20039,0.79552,0.000953,0.000953,0.000953
14,1444.23,1.11073,1.28457,0.76828,0.5781,0.79447,0.69776,0.5448,0.88669,1.14958,0.79439,0.00092825,0.00092825,0.00092825
15,1502.98,1.03561,1.22639,0.77864,0.64118,0.77702,0.74615,0.59145,0.88146,1.06979,0.79327,0.0009035,0.0009035,0.0009035
16,1561.35,1.09085,1.21698,0.77296,0.70573,0.72818,0.78865,0.62258,0.85513,1.00819,0.79525,0.00087875,0.00087875,0.00087875
17,1619.12,1.19182,1.22576,0.77133,0.73876,0.75613,0.81361,0.62206,0.95498,1.03892,0.79681,0.000854,0.000854,0.000854
18,1676.53,1.13037,1.13255,0.77053,0.81688,0.80695,0.86232,0.67837,0.82041,0.94016,0.79075,0.00082925,0.00082925,0.00082925
19,1734.33,1.04602,1.051,0.77044,0.8249,0.81925,0.90004,0.68251,0.88697,0.9021,0.78916,0.0008045,0.0008045,0.0008045
20,1792.22,1.13556,1.04264,0.76579,0.79394,0.80208,0.90055,0.70594,0.81695,0.90199,0.7871,0.00077975,0.00077975,0.00077975
21,1850.78,1.0182,1.01682,0.77292,0.85166,0.77723,0.91474,0.72624,0.80126,0.84018,0.7887,0.000755,0.000755,0.000755
22,1909.06,1.07952,1.00355,0.76903,0.83446,0.795,0.91613,0.7107,0.83577,0.88661,0.79017,0.00073025,0.00073025,0.00073025
23,1966.89,1.08382,0.99307,0.76545,0.91614,0.83829,0.93952,0.73831,0.8084,0.77166,0.78805,0.0007055,0.0007055,0.0007055
24,2024.88,1.08373,0.97177,0.76542,0.91673,0.84312,0.94146,0.74687,0.79296,0.76469,0.78843,0.00068075,0.00068075,0.00068075
25,2082.57,1.07668,0.94371,0.76875,0.91103,0.85983,0.9446,0.73363,0.84936,0.7392,0.78985,0.000656,0.000656,0.000656
26,2140.44,1.07097,0.92319,0.76287,0.93945,0.85238,0.94827,0.72033,0.83837,0.71402,0.7895,0.00063125,0.00063125,0.00063125
27,2197.7,1.16467,0.93766,0.76272,0.86057,0.86296,0.93755,0.72366,0.84761,0.78314,0.79131,0.0006065,0.0006065,0.0006065
28,2257.25,1.04447,0.87119,0.77119,0.9053,0.84078,0.94717,0.74867,0.77299,0.71726,0.78772,0.00058175,0.00058175,0.00058175
29,2314.84,1.07451,0.88112,0.75933,0.96627,0.83518,0.95544,0.75361,0.83418,0.69079,0.7871,0.000557,0.000557,0.000557
30,2373.27,1.05875,0.85736,0.7655,0.88882,0.88849,0.95029,0.74979,0.78114,0.7224,0.78882,0.00053225,0.00053225,0.00053225
31,2431.79,0.97828,0.83808,0.77011,0.93766,0.8624,0.95981,0.7577,0.78828,0.68187,0.78908,0.0005075,0.0005075,0.0005075
32,2489.68,1.00725,0.83324,0.76691,0.92803,0.91224,0.95437,0.76272,0.75711,0.64675,0.7882,0.00048275,0.00048275,0.00048275
33,2549.65,0.94808,0.75935,0.77505,0.92412,0.88315,0.95669,0.77014,0.73826,0.65143,0.78511,0.000458,0.000458,0.000458
