epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.3549,0.96456,3.15832,0.84097,0.03711,0.64004,0.11318,0.03665,0.75518,4.11622,0.82497,0.000408654,0.000408654,0.000408654
2,18.3556,0.9824,2.15728,0.84201,0.04348,0.92663,0.42887,0.3387,0.80236,3.09948,0.83795,0.000808979,0.000808979,0.000808979
3,25.3416,0.94022,1.82547,0.8342,0.40292,0.63826,0.55357,0.44153,0.75941,1.84133,0.84746,0.0011928,0.0011928,0.0011928
4,32.3343,0.9299,1.62743,0.83744,0.56411,0.78391,0.69803,0.58451,0.6961,1.4851,0.84282,0.00117575,0.00117575,0.00117575
5,39.6042,0.88186,1.4875,0.83263,0.71608,0.83579,0.79774,0.66596,0.6852,1.28348,0.84199,0.001151,0.001151,0.001151
6,46.7666,0.84594,1.36503,0.82826,0.76623,0.91801,0.91812,0.78649,0.62554,1.17571,0.83316,0.00112625,0.00112625,0.00112625
7,53.9374,0.81332,1.29076,0.82598,0.87146,0.88734,0.95114,0.81592,0.60414,1.04809,0.82942,0.0011015,0.0011015,0.0011015
8,61.0824,0.80751,1.15997,0.82344,0.86862,0.90987,0.96236,0.81008,0.64119,1.06434,0.83383,0.00107675,0.00107675,0.00107675
9,68.3593,0.89414,1.17949,0.82612,0.91076,0.96063,0.97861,0.83146,0.63778,0.9336,0.83115,0.001052,0.001052,0.001052
10,75.4543,0.77413,1.03991,0.82007,0.89173,0.96017,0.98233,0.84661,0.56694,0.867,0.8232,0.00102725,0.00102725,0.00102725
11,82.5631,0.76499,0.99233,0.81476,0.9472,0.97506,0.98522,0.86307,0.56523,0.78322,0.82393,0.0010025,0.0010025,0.0010025
12,89.7097,0.72914,0.91461,0.81153,0.9444,0.97219,0.98525,0.86525,0.54406,0.78392,0.81984,0.00097775,0.00097775,0.00097775
13,96.8671,0.7375,0.87349,0.80839,0.95475,0.98272,0.98863,0.86714,0.54431,0.73019,0.81968,0.000953,0.000953,0.000953
14,103.936,0.72468,0.85663,0.81196,0.97095,0.95083,0.98617,0.86893,0.5349,0.76805,0.8178,0.00092825,0.00092825,0.00092825
15,111.122,0.70347,0.8363,0.80513,0.97388,0.9735,0.98914,0.86052,0.54724,0.67217,0.81806,0.0009035,0.0009035,0.0009035
16,118.441,0.69858,0.82617,0.80502,0.96094,0.98913,0.98891,0.86872,0.55042,0.65176,0.81763,0.00087875,0.00087875,0.00087875
17,125.476,0.70766,0.77713,0.80369,0.97865,0.96931,0.98986,0.87174,0.53272,0.64253,0.81571,0.000854,0.000854,0.000854
18,132.602,0.71494,0.73165,0.8053,0.98173,0.97583,0.98949,0.8718,0.55019,0.63623,0.81748,0.00082925,0.00082925,0.00082925
19,139.726,0.69738,0.74381,0.81058,0.98818,0.98905,0.99199,0.87967,0.50981,0.59026,0.81329,0.0008045,0.0008045,0.0008045
20,146.951,0.70119,0.73363,0.80258,0.98327,0.99067,0.99201,0.87645,0.53532,0.59605,0.8154,0.00077975,0.00077975,0.00077975
21,153.93,0.76215,0.71122,0.81358,0.98117,0.97827,0.9903,0.87706,0.54222,0.59962,0.81576,0.000755,0.000755,0.000755
22,160.899,0.69915,0.68412,0.80882,0.9849,0.97993,0.99016,0.87191,0.51089,0.58154,0.81218,0.00073025,0.00073025,0.00073025
23,167.83,0.70336,0.68408,0.80389,0.98322,0.98708,0.99142,0.87912,0.54417,0.5702,0.81618,0.0007055,0.0007055,0.0007055
24,174.786,0.69911,0.68011,0.80286,0.98995,0.98885,0.99151,0.88042,0.50856,0.56024,0.81281,0.00068075,0.00068075,0.00068075
25,181.724,0.6949,0.64742,0.80536,0.97584,0.98593,0.99059,0.8748,0.52834,0.55368,0.81485,0.000656,0.000656,0.000656
26,188.534,0.65903,0.62891,0.80429,0.98447,0.98757,0.99182,0.87804,0.5092,0.53875,0.81259,0.00063125,0.00063125,0.00063125
27,195.562,0.68813,0.64727,0.80684,0.98138,0.98794,0.99071,0.88523,0.50082,0.56425,0.8107,0.0006065,0.0006065,0.0006065
28,202.483,0.66519,0.62686,0.80423,0.98366,0.98421,0.99171,0.8883,0.49173,0.53433,0.81044,0.00058175,0.00058175,0.00058175
29,209.521,0.66725,0.62491,0.80799,0.97882,0.98946,0.99143,0.89542,0.49122,0.52076,0.81063,0.000557,0.000557,0.000557
30,216.504,0.65909,0.60823,0.80253,0.98272,0.98872,0.99227,0.87985,0.50573,0.51633,0.81278,0.00053225,0.00053225,0.00053225
31,223.536,0.66702,0.59242,0.80573,0.98012,0.99262,0.99273,0.88269,0.50689,0.505,0.81109,0.0005075,0.0005075,0.0005075
32,230.531,0.66965,0.60885,0.80227,0.98653,0.98913,0.99265,0.88654,0.49954,0.50555,0.81189,0.00048275,0.00048275,0.00048275
33,237.399,0.65546,0.57629,0.79983,0.97845,0.99064,0.99093,0.87957,0.51491,0.50718,0.8113,0.000458,0.000458,0.000458
34,244.334,0.67598,0.57371,0.80396,0.97552,0.9858,0.99233,0.88124,0.5003,0.50213,0.80966,0.00043325,0.00043325,0.00043325
35,251.309,0.63919,0.56042,0.80069,0.9806,0.98139,0.9929,0.88283,0.52383,0.49289,0.81102,0.0004085,0.0004085,0.0004085
36,258.322,0.65864,0.57915,0.79767,0.97864,0.98913,0.9924,0.88141,0.50225,0.49224,0.8098,0.00038375,0.00038375,0.00038375
37,265.267,0.6432,0.56235,0.79847,0.98862,0.97856,0.99223,0.87898,0.53933,0.49692,0.81381,0.000359,0.000359,0.000359
38,272.244,0.64487,0.56566,0.80271,0.99198,0.98272,0.99233,0.8829,0.49539,0.48316,0.81019,0.00033425,0.00033425,0.00033425
39,279.193,0.66531,0.55925,0.79958,0.98859,0.98272,0.99188,0.87795,0.51904,0.48562,0.81158,0.0003095,0.0003095,0.0003095
40,286.207,0.63767,0.54287,0.79964,0.98065,0.98324,0.99179,0.87881,0.49085,0.48082,0.80861,0.00028475,0.00028475,0.00028475
41,292.771,0.63991,0.61935,0.80448,0.98339,0.9878,0.99167,0.87878,0.51103,0.47694,0.80957,0.00026,0.00026,0.00026
