epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.2523,0.83542,2.39235,0.82474,0.66464,0.76151,0.76804,0.64094,0.68557,1.67318,0.8354,0.000408654,0.000408654,0.000408654
2,21.8642,0.82043,1.28204,0.82367,0.77752,0.86669,0.95586,0.81193,0.64432,1.02567,0.83377,0.00081715,0.00081715,0.00081715
3,30.4999,0.78883,0.95742,0.81412,0.91223,0.90035,0.97311,0.82893,0.63162,0.78903,0.8276,0.0012174,0.0012174,0.0012174
4,39.0909,0.79119,0.83456,0.82081,0.95129,0.92455,0.97957,0.82282,0.62967,0.65258,0.83132,0.00121287,0.00121287,0.00121287
5,47.7365,0.75333,0.64718,0.81543,0.94337,0.98497,0.98793,0.84226,0.59944,0.58336,0.82939,0.0012005,0.0012005,0.0012005
6,56.357,0.76883,0.6052,0.81745,0.95491,0.98249,0.9875,0.87025,0.56389,0.48871,0.82021,0.00118812,0.00118812,0.00118812
7,64.9399,0.74322,0.56811,0.81524,0.98005,0.98622,0.99096,0.86557,0.58027,0.44312,0.82087,0.00117575,0.00117575,0.00117575
8,73.5345,0.73563,0.53757,0.8115,0.97927,0.9749,0.98848,0.85116,0.57976,0.46913,0.82045,0.00116337,0.00116337,0.00116337
9,82.2224,0.79516,0.5686,0.80854,0.97297,0.98922,0.98527,0.84531,0.59974,0.45875,0.82205,0.001151,0.001151,0.001151
10,90.706,0.71563,0.50695,0.80797,0.97725,0.97195,0.98963,0.86223,0.54578,0.45396,0.81644,0.00113863,0.00113863,0.00113863
11,99.2417,0.73477,0.50209,0.80658,0.9781,0.97032,0.9921,0.87446,0.56036,0.42026,0.81873,0.00112625,0.00112625,0.00112625
12,107.805,0.68809,0.45007,0.80369,0.9874,0.97096,0.99154,0.86137,0.52306,0.3844,0.81632,0.00111388,0.00111388,0.00111388
13,116.303,0.69899,0.44647,0.80233,0.98318,0.9823,0.99125,0.8549,0.55993,0.37527,0.81576,0.0011015,0.0011015,0.0011015
14,125.013,0.67843,0.44055,0.80514,0.98638,0.99167,0.99193,0.8793,0.53232,0.35813,0.813,0.00108913,0.00108913,0.00108913
15,133.643,0.66338,0.42985,0.79855,0.98711,0.98734,0.99274,0.87716,0.51643,0.34838,0.81154,0.00107675,0.00107675,0.00107675
16,142.281,0.66293,0.43088,0.79788,0.96538,0.98847,0.98949,0.88277,0.51809,0.39591,0.8119,0.00106437,0.00106437,0.00106437
17,150.813,0.66675,0.42135,0.79732,0.99186,0.99275,0.99403,0.8945,0.48899,0.33363,0.80851,0.001052,0.001052,0.001052
18,159.461,0.65829,0.41038,0.79697,0.98917,0.98713,0.99137,0.86157,0.55411,0.35199,0.81437,0.00103962,0.00103962,0.00103962
19,168.054,0.66079,0.41243,0.80252,0.99377,0.988,0.99172,0.87297,0.50952,0.32114,0.80975,0.00102725,0.00102725,0.00102725
20,176.546,0.66066,0.40895,0.79767,0.988,0.98955,0.99135,0.8706,0.52421,0.34501,0.81079,0.00101488,0.00101488,0.00101488
