epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.6838,0.83542,2.39235,0.82474,0.66464,0.76151,0.76804,0.64094,0.68557,1.67318,0.8354,0.000408654,0.000408654,0.000408654
2,21.3048,0.8215,1.28212,0.82372,0.77584,0.87541,0.95632,0.81232,0.64747,1.01997,0.83425,0.000808979,0.000808979,0.000808979
3,30.2809,0.78552,0.95696,0.81375,0.91207,0.90512,0.97311,0.83212,0.61275,0.76679,0.82628,0.0011928,0.0011928,0.0011928
4,39.4703,0.78592,0.80604,0.81929,0.92586,0.93608,0.97663,0.82986,0.6179,0.66749,0.82925,0.00117575,0.00117575,0.00117575
5,48.5533,0.75278,0.66604,0.81487,0.93679,0.95733,0.98455,0.83279,0.62324,0.61582,0.83178,0.001151,0.001151,0.001151
6,57.8017,0.76321,0.62155,0.8194,0.96475,0.98587,0.98396,0.8516,0.5744,0.49265,0.82055,0.00112625,0.00112625,0.00112625
7,66.5802,0.76531,0.58404,0.81595,0.9858,0.98855,0.99005,0.85606,0.57229,0.45985,0.82258,0.0011015,0.0011015,0.0011015
8,75.4234,0.74278,0.5593,0.81302,0.9741,0.97378,0.99,0.86788,0.56324,0.46067,0.81859,0.00107675,0.00107675,0.00107675
9,84.3666,0.77042,0.56792,0.80671,0.9589,0.98955,0.98717,0.85465,0.55337,0.48286,0.81773,0.001052,0.001052,0.001052
10,93.1142,0.7574,0.52889,0.81092,0.97396,0.97056,0.98443,0.84727,0.5876,0.46382,0.82376,0.00102725,0.00102725,0.00102725
11,101.87,0.76112,0.53051,0.81207,0.98572,0.98955,0.99181,0.85831,0.56487,0.40068,0.81975,0.0010025,0.0010025,0.0010025
12,110.678,0.69116,0.47558,0.80427,0.98289,0.95626,0.99106,0.86126,0.52023,0.41218,0.81621,0.00097775,0.00097775,0.00097775
13,119.372,0.69296,0.46231,0.80138,0.98333,0.9823,0.98794,0.86132,0.53718,0.39525,0.81438,0.000953,0.000953,0.000953
14,128.207,0.68174,0.4379,0.80561,0.98658,0.9823,0.99144,0.86924,0.52998,0.3701,0.81298,0.00092825,0.00092825,0.00092825
15,137.046,0.65459,0.41945,0.7979,0.98895,0.98337,0.99168,0.87245,0.51916,0.36269,0.81184,0.0009035,0.0009035,0.0009035
16,145.908,0.6594,0.42467,0.79772,0.98135,0.98898,0.99171,0.86934,0.53603,0.38963,0.81293,0.00087875,0.00087875,0.00087875
17,154.573,0.66786,0.41998,0.79831,0.98921,0.99192,0.99407,0.87856,0.51734,0.35204,0.81211,0.000854,0.000854,0.000854
18,163.394,0.6713,0.40321,0.79856,0.99026,0.99183,0.9934,0.85872,0.56565,0.35513,0.81307,0.00082925,0.00082925,0.00082925
19,172.206,0.6769,0.40883,0.80366,0.98506,0.98599,0.99223,0.88998,0.48813,0.3397,0.80788,0.0008045,0.0008045,0.0008045
20,180.98,0.65899,0.40341,0.79545,0.98831,0.98955,0.99183,0.87648,0.52146,0.34064,0.81023,0.00077975,0.00077975,0.00077975
21,189.736,0.71016,0.4049,0.80822,0.99137,0.98551,0.99323,0.87684,0.50878,0.34043,0.81072,0.000755,0.000755,0.000755
22,198.475,0.65239,0.3859,0.80188,0.98478,0.9911,0.99042,0.88272,0.48073,0.34115,0.806,0.00073025,0.00073025,0.00073025
23,207.371,0.6424,0.38095,0.79596,0.99409,0.98755,0.99307,0.8818,0.51207,0.32157,0.81134,0.0007055,0.0007055,0.0007055
24,216.138,0.64594,0.37047,0.79529,0.99378,0.99275,0.9935,0.88279,0.4897,0.30778,0.80768,0.00068075,0.00068075,0.00068075
25,224.932,0.65248,0.36132,0.79993,0.98858,0.98962,0.99211,0.88594,0.52369,0.31285,0.8096,0.000656,0.000656,0.000656
26,233.606,0.61948,0.34952,0.79845,0.99413,0.99275,0.99236,0.88224,0.48561,0.28824,0.80795,0.00063125,0.00063125,0.00063125
