epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,380.898,1.06432,2.80355,0.98856,0.02636,0.69055,0.16236,0.08349,0.79923,3.64186,0.83596,0.000411765,0.000411765,0.000411765
2,707.097,0.94574,1.92129,0.94359,0.3285,0.58331,0.39138,0.3243,0.72232,2.00836,0.85107,0.000812028,0.000812028,0.000812028
3,1015.3,0.92503,1.65124,0.94859,0.61197,0.50572,0.49919,0.41121,0.71698,1.70584,0.84109,0.00119579,0.00119579,0.00119579
4,1370.77,0.88926,1.53034,0.92851,0.55131,0.57878,0.61777,0.52336,0.6659,1.48755,0.84255,0.00117575,0.00117575,0.00117575
5,1650.2,0.87299,1.35517,0.95422,0.70058,0.72341,0.72019,0.60638,0.67942,1.38425,0.83695,0.001151,0.001151,0.001151
6,1934.33,0.8396,1.20754,0.91335,0.79622,0.80958,0.87113,0.72818,0.72914,1.17508,0.84481,0.00112625,0.00112625,0.00112625
7,2266.48,0.84778,1.16344,0.92688,0.90325,0.86406,0.93804,0.79246,0.69314,1.06565,0.84201,0.0011015,0.0011015,0.0011015
8,2587.3,0.85592,1.08163,0.92341,0.91749,0.91708,0.96878,0.84003,0.63034,0.88029,0.8289,0.00107675,0.00107675,0.00107675
9,2890.56,0.83105,1.00078,0.91725,0.94616,0.97014,0.98243,0.8443,0.64133,0.81872,0.83411,0.001052,0.001052,0.001052
10,3217.57,0.81862,0.97071,0.92272,0.9724,0.93458,0.98145,0.83883,0.61578,0.75487,0.82574,0.00102725,0.00102725,0.00102725
11,3506.24,0.77866,0.86479,0.90283,0.94917,0.94988,0.97704,0.84164,0.63599,0.73112,0.83111,0.0010025,0.0010025,0.0010025
12,3783.51,0.76985,0.86987,0.90621,0.9685,0.93083,0.98201,0.85784,0.58352,0.69378,0.82197,0.00097775,0.00097775,0.00097775
13,4096.03,0.75782,0.82022,0.89846,0.95915,0.95377,0.97958,0.86515,0.59045,0.69373,0.82439,0.000953,0.000953,0.000953
14,4405.16,0.77442,0.83448,0.91264,0.94855,0.92417,0.97926,0.86813,0.56307,0.69617,0.81928,0.00092825,0.00092825,0.00092825
15,4723.92,0.77086,0.79745,0.90478,0.9707,0.97969,0.98711,0.85904,0.58161,0.59461,0.81821,0.0009035,0.0009035,0.0009035
16,5058.79,0.75167,0.75864,0.89721,0.96144,0.94872,0.98585,0.87118,0.56077,0.62333,0.82149,0.00087875,0.00087875,0.00087875
17,5408.05,0.73386,0.69951,0.89227,0.97677,0.95892,0.98578,0.8708,0.57541,0.55367,0.82102,0.000854,0.000854,0.000854
18,5694.69,0.71788,0.71542,0.89116,0.97588,0.97038,0.98762,0.87787,0.58744,0.54917,0.82271,0.00082925,0.00082925,0.00082925
19,6035.99,0.74583,0.69857,0.89344,0.94316,0.9686,0.98592,0.87264,0.54146,0.53511,0.81543,0.0008045,0.0008045,0.0008045
20,6383.16,0.74723,0.67499,0.89122,0.9682,0.95802,0.98683,0.86039,0.59912,0.54736,0.82225,0.00077975,0.00077975,0.00077975
21,6723.88,0.7456,0.72469,0.9015,0.96406,0.9699,0.98806,0.86905,0.58889,0.5275,0.82059,0.000755,0.000755,0.000755
22,7014.75,0.72912,0.67321,0.88986,0.97852,0.98161,0.98793,0.87962,0.55237,0.50894,0.81859,0.00073025,0.00073025,0.00073025
23,7296.7,0.68976,0.63468,0.88237,0.97829,0.96708,0.99004,0.8674,0.57222,0.50106,0.81945,0.0007055,0.0007055,0.0007055
24,7618.74,0.70473,0.65351,0.88506,0.9758,0.98134,0.9894,0.88223,0.52712,0.49008,0.81588,0.00068075,0.00068075,0.00068075
25,7944.04,0.69004,0.63034,0.88107,0.98352,0.98164,0.99026,0.87818,0.55146,0.47902,0.8154,0.000656,0.000656,0.000656
26,8242.68,0.71732,0.65238,0.88307,0.96764,0.97994,0.98768,0.88108,0.53407,0.48586,0.81423,0.00063125,0.00063125,0.00063125
27,8570.18,0.69241,0.61891,0.87585,0.98699,0.95941,0.99018,0.8856,0.53475,0.45842,0.81499,0.0006065,0.0006065,0.0006065
28,8897.02,0.68831,0.59256,0.8799,0.98478,0.97959,0.99056,0.88998,0.50619,0.42616,0.81136,0.00058175,0.00058175,0.00058175
29,9203.59,0.68424,0.58102,0.87983,0.97801,0.9808,0.98778,0.8899,0.52223,0.45878,0.81163,0.000557,0.000557,0.000557
30,9527.2,0.66866,0.58891,0.87253,0.98361,0.9841,0.9892,0.89015,0.52194,0.43509,0.81329,0.00053225,0.00053225,0.00053225
31,9839.86,0.67626,0.58107,0.88049,0.98428,0.97588,0.99121,0.88004,0.55951,0.44884,0.81493,0.0005075,0.0005075,0.0005075
32,10191.4,0.69067,0.60061,0.87824,0.98356,0.98328,0.98819,0.88049,0.54402,0.44625,0.81421,0.00048275,0.00048275,0.00048275
33,10511.9,0.68374,0.57499,0.8672,0.98503,0.98271,0.98797,0.88799,0.51866,0.42698,0.81304,0.000458,0.000458,0.000458
34,10821.3,0.68196,0.57518,0.88342,0.97748,0.97984,0.98985,0.89662,0.50992,0.4348,0.8111,0.00043325,0.00043325,0.00043325
35,11137.4,0.66188,0.5451,0.8714,0.98198,0.98194,0.98967,0.88445,0.52548,0.42474,0.81089,0.0004085,0.0004085,0.0004085
36,11495,0.6768,0.5437,0.86888,0.98,0.98299,0.98828,0.88932,0.52372,0.42962,0.81299,0.00038375,0.00038375,0.00038375
37,11838.3,0.67773,0.54803,0.87686,0.98445,0.9846,0.99084,0.89333,0.50929,0.41225,0.81085,0.000359,0.000359,0.000359
38,12150.1,0.66989,0.54244,0.87195,0.98756,0.98385,0.99097,0.89073,0.52414,0.40691,0.8109,0.00033425,0.00033425,0.00033425
39,12488.1,0.69048,0.54888,0.8831,0.98296,0.98417,0.99156,0.89567,0.51751,0.40631,0.8119,0.0003095,0.0003095,0.0003095
40,12826.9,0.67531,0.52321,0.86806,0.98956,0.98879,0.99113,0.88538,0.53927,0.39214,0.812,0.00028475,0.00028475,0.00028475
41,13145.6,0.65229,0.54935,0.8629,0.9842,0.97793,0.9889,0.88761,0.51,0.41292,0.81005,0.00026,0.00026,0.00026
42,13462,0.65832,0.54379,0.85988,0.9795,0.98789,0.99086,0.8966,0.51198,0.40092,0.81024,0.00023525,0.00023525,0.00023525
43,13780.5,0.64875,0.53877,0.87364,0.97343,0.97127,0.98963,0.88742,0.52203,0.40456,0.81154,0.0002105,0.0002105,0.0002105
44,14094.2,0.63486,0.49928,0.86696,0.98695,0.9656,0.98977,0.90149,0.50434,0.39135,0.8094,0.00018575,0.00018575,0.00018575
45,14405.1,0.63153,0.49893,0.85873,0.98515,0.98084,0.99093,0.89954,0.50011,0.38703,0.8093,0.000161,0.000161,0.000161
46,14718.3,0.64279,0.48875,0.86801,0.98894,0.97201,0.99137,0.90059,0.50233,0.38729,0.80991,0.00013625,0.00013625,0.00013625
47,15038.1,0.62606,0.48309,0.86759,0.98551,0.98715,0.99077,0.89734,0.49687,0.37475,0.80966,0.0001115,0.0001115,0.0001115
48,15367.9,0.62676,0.47316,0.86496,0.98569,0.98726,0.98992,0.89345,0.49871,0.37197,0.80959,8.675e-05,8.675e-05,8.675e-05
49,15684.9,0.6197,0.46856,0.8572,0.98518,0.98707,0.99023,0.89899,0.4985,0.37482,0.80895,6.2e-05,6.2e-05,6.2e-05
50,16000.9,0.6225,0.4612,0.86266,0.98687,0.98791,0.9908,0.89746,0.5004,0.36976,0.80958,3.725e-05,3.725e-05,3.725e-05
