epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.9095,0.88787,2.19379,0.82746,0.8394,0.79363,0.9171,0.7525,0.69778,1.19814,0.83768,0.00041088,0.00041088,0.00041088
2,29.4561,0.82543,1.0123,0.82433,0.93231,0.94695,0.98505,0.85535,0.61168,0.70039,0.826,0.000811161,0.000811161,0.000811161
3,41.9056,0.8218,0.79343,0.8225,0.96469,0.9466,0.98574,0.84942,0.62618,0.63341,0.82786,0.00119494,0.00119494,0.00119494
4,54.3671,0.81508,0.69509,0.82258,0.96262,0.97433,0.98824,0.85007,0.59077,0.48915,0.82406,0.00117575,0.00117575,0.00117575
5,66.6351,0.77704,0.59296,0.81939,0.98796,0.97711,0.99019,0.8414,0.58586,0.47179,0.82621,0.001151,0.001151,0.001151
6,78.9181,0.79378,0.57889,0.81977,0.97371,0.97628,0.99001,0.85326,0.58134,0.46629,0.82293,0.00112625,0.00112625,0.00112625
7,91.3305,0.78462,0.54981,0.81592,0.97224,0.98634,0.99326,0.8427,0.64564,0.4664,0.83411,0.0011015,0.0011015,0.0011015
8,103.544,0.7571,0.53915,0.81096,0.97882,0.98942,0.99028,0.86181,0.5789,0.4441,0.82004,0.00107675,0.00107675,0.00107675
9,115.778,0.72225,0.50146,0.80574,0.96026,0.99208,0.99107,0.85761,0.54077,0.40385,0.81417,0.001052,0.001052,0.001052
10,127.966,0.69337,0.46239,0.80922,0.98736,0.96283,0.99021,0.875,0.53748,0.40409,0.81406,0.00102725,0.00102725,0.00102725
11,140.345,0.69726,0.45224,0.80131,0.98714,0.98293,0.99277,0.87593,0.53577,0.36323,0.81485,0.0010025,0.0010025,0.0010025
12,152.669,0.68296,0.43578,0.80005,0.98654,0.98722,0.99207,0.85649,0.55849,0.36538,0.81247,0.00097775,0.00097775,0.00097775
13,164.927,0.68933,0.43093,0.79873,0.97172,0.97211,0.99246,0.87616,0.50852,0.35192,0.81154,0.000953,0.000953,0.000953
14,177.26,0.6771,0.42698,0.8036,0.99116,0.98523,0.99285,0.87426,0.53328,0.35612,0.81327,0.00092825,0.00092825,0.00092825
15,189.801,0.67378,0.40751,0.79528,0.99382,0.99275,0.99281,0.88442,0.52056,0.32307,0.81157,0.0009035,0.0009035,0.0009035
16,202.657,0.64917,0.38774,0.79754,0.99427,0.98985,0.9923,0.88259,0.49472,0.31264,0.80845,0.00087875,0.00087875,0.00087875
17,215.279,0.65293,0.37519,0.79434,0.98694,0.99154,0.99257,0.87731,0.49171,0.33076,0.80651,0.000854,0.000854,0.000854
18,228.077,0.65348,0.38321,0.79635,0.98915,0.99018,0.99222,0.8774,0.47972,0.32308,0.80563,0.00082925,0.00082925,0.00082925
19,241.025,0.65714,0.38187,0.79627,0.99383,0.98995,0.99256,0.89254,0.48591,0.30363,0.80747,0.0008045,0.0008045,0.0008045
20,253.843,0.64318,0.37189,0.7895,0.99362,0.99006,0.99341,0.88666,0.50096,0.30747,0.80844,0.00077975,0.00077975,0.00077975
21,266.59,0.64809,0.37638,0.79802,0.98899,0.98272,0.99151,0.88224,0.49162,0.33274,0.80885,0.000755,0.000755,0.000755
22,279.198,0.64077,0.37385,0.79729,0.98865,0.99361,0.99252,0.87898,0.47895,0.30784,0.80557,0.00073025,0.00073025,0.00073025
23,291.604,0.63531,0.36387,0.79215,0.99371,0.99321,0.99275,0.89392,0.48526,0.29269,0.80618,0.0007055,0.0007055,0.0007055
24,303.835,0.6039,0.35862,0.78823,0.99116,0.98955,0.99214,0.8802,0.4924,0.30916,0.80813,0.00068075,0.00068075,0.00068075
25,316.485,0.61431,0.3521,0.79436,0.9901,0.98988,0.99444,0.88735,0.47816,0.3154,0.80535,0.000656,0.000656,0.000656
26,329.298,0.61412,0.35789,0.78988,0.98635,0.99164,0.99173,0.87823,0.48789,0.32143,0.8064,0.00063125,0.00063125,0.00063125
27,342.203,0.61236,0.35003,0.7919,0.99434,0.99005,0.99265,0.87137,0.50283,0.29557,0.80674,0.0006065,0.0006065,0.0006065
28,354.808,0.64407,0.35927,0.7945,0.98582,0.99416,0.99232,0.87596,0.49159,0.30691,0.8067,0.00058175,0.00058175,0.00058175
29,367.772,0.6176,0.34922,0.78956,0.9933,0.99176,0.99306,0.89105,0.4751,0.28678,0.80651,0.000557,0.000557,0.000557
30,380.703,0.58867,0.33307,0.78919,0.99404,0.98973,0.99318,0.89261,0.47618,0.28078,0.80634,0.00053225,0.00053225,0.00053225
31,393.19,0.60339,0.33325,0.78928,0.98243,0.99613,0.99302,0.88179,0.47126,0.29849,0.80483,0.0005075,0.0005075,0.0005075
32,405.904,0.60497,0.33046,0.7933,0.99438,0.99202,0.99282,0.88452,0.47035,0.26871,0.8059,0.00048275,0.00048275,0.00048275
33,418.607,0.59076,0.32533,0.79174,0.98886,0.99379,0.99204,0.89204,0.46796,0.30249,0.8045,0.000458,0.000458,0.000458
34,431.117,0.58566,0.32817,0.78924,0.99338,0.99346,0.99218,0.89177,0.47304,0.27911,0.8077,0.00043325,0.00043325,0.00043325
35,443.465,0.58459,0.31855,0.79205,0.98577,0.99438,0.99138,0.89145,0.46508,0.29257,0.80294,0.0004085,0.0004085,0.0004085
36,456.026,0.60235,0.32992,0.78885,0.98793,0.98955,0.99187,0.88319,0.47239,0.30646,0.80427,0.00038375,0.00038375,0.00038375
37,468.629,0.58122,0.31877,0.79009,0.98786,0.99073,0.99204,0.88602,0.45431,0.29068,0.80292,0.000359,0.000359,0.000359
38,481.061,0.59271,0.31317,0.78381,0.98927,0.99054,0.99167,0.88495,0.48627,0.29117,0.80565,0.00033425,0.00033425,0.00033425
39,493.54,0.57516,0.31422,0.78251,0.9892,0.9906,0.99175,0.87383,0.48678,0.29884,0.8064,0.0003095,0.0003095,0.0003095
40,506.067,0.56827,0.30428,0.78775,0.99124,0.98822,0.99191,0.89857,0.45976,0.28436,0.80369,0.00028475,0.00028475,0.00028475
41,518.14,0.55383,0.3072,0.78871,0.98398,0.99085,0.99164,0.88793,0.46908,0.2967,0.80342,0.00026,0.00026,0.00026
42,530.236,0.55047,0.30727,0.78736,0.98534,0.98634,0.99123,0.88398,0.47544,0.29269,0.80383,0.00023525,0.00023525,0.00023525
43,542.216,0.55454,0.30526,0.78752,0.98688,0.98504,0.99198,0.88409,0.46126,0.28309,0.80283,0.0002105,0.0002105,0.0002105
