epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.4685,0.94722,2.18227,0.84034,0.78162,0.90197,0.84991,0.70138,0.7094,1.15067,0.84128,0.00041088,0.00041088,0.00041088
2,30.256,0.86346,1.05372,0.83331,0.83143,0.93583,0.97303,0.82004,0.64844,0.8526,0.83215,0.000811161,0.000811161,0.000811161
3,43.077,0.88536,0.80756,0.83553,0.94197,0.96852,0.9894,0.83449,0.64814,0.69581,0.83439,0.00119494,0.00119494,0.00119494
4,55.8465,0.87124,0.71039,0.83656,0.98007,0.97951,0.98947,0.82906,0.69696,0.54786,0.83737,0.00117575,0.00117575,0.00117575
5,68.5937,0.89602,0.62929,0.83159,0.97462,0.9867,0.9897,0.8151,0.70255,0.5152,0.83597,0.001151,0.001151,0.001151
6,81.2971,0.81336,0.6044,0.82692,0.98975,0.99025,0.99355,0.85411,0.58609,0.42513,0.82157,0.00112625,0.00112625,0.00112625
7,94.0985,0.82621,0.53475,0.82559,0.98757,0.98955,0.99175,0.83236,0.61708,0.43568,0.8211,0.0011015,0.0011015,0.0011015
8,106.872,0.79836,0.52385,0.81945,0.98843,0.98824,0.99194,0.83712,0.63025,0.41551,0.82691,0.00107675,0.00107675,0.00107675
9,119.662,0.76882,0.50379,0.81313,0.95217,0.95949,0.99077,0.86197,0.56855,0.47729,0.81805,0.001052,0.001052,0.001052
10,132.438,0.79524,0.49776,0.82122,0.88218,0.9502,0.99116,0.86165,0.56008,0.4904,0.81862,0.00102725,0.00102725,0.00102725
11,145.288,0.81757,0.50843,0.82269,0.98305,0.97743,0.99447,0.84927,0.57918,0.39059,0.81826,0.0010025,0.0010025,0.0010025
12,157.961,0.73103,0.44976,0.80954,0.9872,0.98593,0.99236,0.87103,0.52977,0.35825,0.81452,0.00097775,0.00097775,0.00097775
13,170.735,0.70901,0.43774,0.80614,0.98573,0.99049,0.99226,0.87818,0.53644,0.36056,0.81246,0.000953,0.000953,0.000953
14,183.434,0.7581,0.46524,0.81688,0.98729,0.99068,0.99417,0.84719,0.56725,0.36607,0.81567,0.00092825,0.00092825,0.00092825
15,196.19,0.74514,0.45149,0.8052,0.99047,0.98953,0.99341,0.87148,0.54914,0.34439,0.81431,0.0009035,0.0009035,0.0009035
16,208.987,0.69512,0.41739,0.80856,0.99109,0.99221,0.99369,0.86733,0.56185,0.34617,0.81621,0.00087875,0.00087875,0.00087875
17,221.664,0.70343,0.40979,0.80299,0.98816,0.99527,0.99419,0.86789,0.52224,0.34026,0.80885,0.000854,0.000854,0.000854
18,234.518,0.69564,0.40969,0.80232,0.989,0.99105,0.99237,0.87673,0.50224,0.3306,0.8076,0.00082925,0.00082925,0.00082925
19,247.339,0.70786,0.41285,0.80284,0.99274,0.99247,0.99392,0.85438,0.56561,0.34107,0.81663,0.0008045,0.0008045,0.0008045
20,260.282,0.72366,0.42133,0.80034,0.98802,0.988,0.99323,0.87101,0.56185,0.3443,0.81472,0.00077975,0.00077975,0.00077975
21,273.1,0.72156,0.41583,0.80723,0.98521,0.99438,0.98991,0.87845,0.51453,0.33804,0.81057,0.000755,0.000755,0.000755
22,285.815,0.67265,0.39561,0.80617,0.98625,0.99275,0.99312,0.87262,0.49171,0.30277,0.80911,0.00073025,0.00073025,0.00073025
23,298.817,0.69727,0.39249,0.79982,0.99026,0.98876,0.99341,0.84874,0.52454,0.32855,0.81004,0.0007055,0.0007055,0.0007055
24,311.446,0.69492,0.39401,0.79959,0.98652,0.9953,0.99294,0.85514,0.57793,0.33504,0.81557,0.00068075,0.00068075,0.00068075
25,323.827,0.70303,0.39465,0.80251,0.9911,0.98915,0.99325,0.87988,0.53297,0.31853,0.81266,0.000656,0.000656,0.000656
26,336.412,0.68421,0.37733,0.7998,0.99032,0.99493,0.99262,0.86882,0.5169,0.31991,0.80805,0.00063125,0.00063125,0.00063125
27,348.987,0.64186,0.35442,0.79972,0.99368,0.99275,0.99325,0.88015,0.47387,0.29045,0.80649,0.0006065,0.0006065,0.0006065
28,361.723,0.67238,0.36719,0.8022,0.98701,0.9947,0.99205,0.88996,0.48328,0.30854,0.80561,0.00058175,0.00058175,0.00058175
29,374.007,0.63415,0.35707,0.79257,0.98613,0.9965,0.99353,0.88658,0.48202,0.29448,0.80574,0.000557,0.000557,0.000557
30,386.139,0.61756,0.34734,0.79553,0.98795,0.99671,0.9922,0.89136,0.47761,0.28489,0.80415,0.00053225,0.00053225,0.00053225
31,398.263,0.63598,0.35091,0.79542,0.98519,0.99618,0.99399,0.87781,0.47899,0.30664,0.80599,0.0005075,0.0005075,0.0005075
32,410.558,0.64434,0.35383,0.79797,0.99041,0.99279,0.99272,0.87826,0.475,0.28313,0.80392,0.00048275,0.00048275,0.00048275
33,422.778,0.63277,0.34356,0.79788,0.98735,0.99556,0.99258,0.87791,0.47408,0.29039,0.80437,0.000458,0.000458,0.000458
34,434.912,0.62032,0.33964,0.79344,0.99139,0.98913,0.99188,0.88129,0.47982,0.28172,0.80485,0.00043325,0.00043325,0.00043325
35,447.346,0.61225,0.33469,0.79511,0.98644,0.99967,0.99188,0.88181,0.4751,0.28727,0.80464,0.0004085,0.0004085,0.0004085
36,459.992,0.61476,0.33368,0.7912,0.98669,0.98649,0.99184,0.88561,0.47201,0.30679,0.80348,0.00038375,0.00038375,0.00038375
37,472.376,0.61315,0.33378,0.79593,0.99253,0.9864,0.99357,0.88413,0.46071,0.27791,0.80359,0.000359,0.000359,0.000359
38,484.681,0.62195,0.32976,0.78984,0.98913,0.99686,0.99246,0.88165,0.46585,0.28586,0.80343,0.00033425,0.00033425,0.00033425
39,496.843,0.58451,0.32381,0.78541,0.98721,0.99817,0.99205,0.88996,0.47818,0.28443,0.80297,0.0003095,0.0003095,0.0003095
40,509.288,0.58623,0.31765,0.79219,0.98821,0.99917,0.99179,0.86695,0.49372,0.28789,0.80512,0.00028475,0.00028475,0.00028475
41,521.146,0.58296,0.32738,0.79302,0.99294,0.9916,0.99189,0.88098,0.46523,0.28423,0.80189,0.00026,0.00026,0.00026
