epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,73.7657,1.84752,0.93849,0.80079,0.58365,0.4097,0.17425,0.14455,0.21054,1.67135,0.01741,0.000414654,0.000414654,0.000414654
2,144.384,1.6147,0.53933,0.32215,0.42082,0.5544,0.28954,0.23704,0.65855,0.77602,0.11294,0.00081486,0.00081486,0.00081486
3,214.959,0.66741,0.80516,0.08935,0.3348,0.69757,0.45492,0.33491,0.35959,0.8622,0.03086,0.00119857,0.00119857,0.00119857
4,285.796,1.69483,0.4408,0.65522,0.17023,0.38384,0.20829,0.14695,1.59704,0.51415,0.43747,0.00117575,0.00117575,0.00117575
5,357.146,1.06001,0.62014,0.24402,0.22287,0.69535,0.38826,0.32347,0.35577,0.9817,0.03417,0.001151,0.001151,0.001151
6,427.35,1.10042,0.65226,0.18254,0.19303,0.72755,0.35443,0.29157,0.74754,1.38346,0.19981,0.00112625,0.00112625,0.00112625
7,498.247,0.81023,0.81334,0.10915,0.25373,0.78146,0.33464,0.29718,0.22626,1.06205,0.02234,0.0011015,0.0011015,0.0011015
8,565.492,0.73555,0.75141,0.07541,0.2424,0.76396,0.46004,0.28933,0.67263,0.93586,0.09942,0.00107675,0.00107675,0.00107675
9,633.152,0.56677,0.86286,0.05162,0.29052,0.87919,0.44481,0.35469,0.35251,1.08411,0.04014,0.001052,0.001052,0.001052
10,703.555,0.34023,1.00179,0.02392,0.21277,0.63427,0.38471,0.31664,0.21975,1.14019,0.0166,0.00102725,0.00102725,0.00102725
11,772.684,0.28776,1.01106,0.01624,0.1834,0.99275,0.42652,0.37954,0.15795,1.23009,0.0135,0.0010025,0.0010025,0.0010025
12,841.907,0.27288,1.09501,0.01551,0.15195,0.9179,0.32693,0.26917,0.20426,1.35565,0.01665,0.00097775,0.00097775,0.00097775
13,910.078,0.29121,0.97945,0.02203,0.41504,0.56571,0.41268,0.34396,0.22969,1.13153,0.01846,0.000953,0.000953,0.000953
14,978.519,0.27141,0.83499,0.01636,0.49313,0.65948,0.73596,0.63744,0.1814,1.01354,0.01357,0.00092825,0.00092825,0.00092825
15,1050.2,0.28955,0.65025,0.02182,0.52466,0.76705,0.77109,0.6009,0.25932,0.86909,0.01931,0.0009035,0.0009035,0.0009035
16,1120.28,0.28782,0.52346,0.02919,0.84163,0.76834,0.88551,0.74031,0.20419,0.6654,0.01615,0.00087875,0.00087875,0.00087875
17,1190.37,0.30216,0.47482,0.02743,0.7277,0.80004,0.859,0.71791,0.20184,0.64501,0.01596,0.000854,0.000854,0.000854
18,1259.21,0.27772,0.44812,0.02675,0.79619,0.8339,0.84459,0.7424,0.15676,0.60807,0.0119,0.00082925,0.00082925,0.00082925
19,1328.25,0.30108,0.45259,0.02649,0.79023,0.85808,0.87763,0.73361,0.20299,0.58499,0.01568,0.0008045,0.0008045,0.0008045
20,1397.97,0.31477,0.43039,0.03292,0.82626,0.84886,0.88854,0.76026,0.1797,0.54756,0.01275,0.00077975,0.00077975,0.00077975
21,1468.98,0.29375,0.42864,0.02907,0.86325,0.77025,0.90454,0.75831,0.19774,0.58014,0.01548,0.000755,0.000755,0.000755
22,1537.57,0.3082,0.42017,0.02753,0.83399,0.75863,0.89886,0.73027,0.22095,0.59997,0.01865,0.00073025,0.00073025,0.00073025
23,1606.08,0.27239,0.39764,0.02807,0.77754,0.7196,0.80183,0.71998,0.15021,0.68608,0.0116,0.0007055,0.0007055,0.0007055
24,1674.13,0.27181,0.41004,0.02687,0.80208,0.77549,0.87409,0.71314,0.22112,0.73202,0.01749,0.00068075,0.00068075,0.00068075
25,1744.63,0.2811,0.41838,0.02842,0.73288,0.71164,0.85047,0.73922,0.17765,0.85283,0.01352,0.000656,0.000656,0.000656
26,1812.69,0.27461,0.39784,0.02568,0.69944,0.69599,0.77325,0.66294,0.18692,0.80447,0.01458,0.00063125,0.00063125,0.00063125
27,1884.03,0.25196,0.39041,0.02122,0.80599,0.67819,0.83024,0.70381,0.20081,0.81255,0.01605,0.0006065,0.0006065,0.0006065
28,1953.59,0.25199,0.39173,0.02141,0.68651,0.72871,0.83261,0.66644,0.24928,0.80763,0.01927,0.00058175,0.00058175,0.00058175
29,2022.73,0.25482,0.38536,0.02184,0.76758,0.73061,0.84983,0.68955,0.24321,0.8672,0.01941,0.000557,0.000557,0.000557
30,2092.55,0.26092,0.38152,0.01952,0.70537,0.72782,0.80956,0.64246,0.2585,0.80504,0.02019,0.00053225,0.00053225,0.00053225
31,2164.16,0.2639,0.36385,0.02494,0.82792,0.79756,0.88219,0.71897,0.23139,0.74867,0.01833,0.0005075,0.0005075,0.0005075
32,2237.44,0.24946,0.34819,0.02129,0.81046,0.79648,0.88195,0.70442,0.24457,0.62902,0.01882,0.00048275,0.00048275,0.00048275
33,2309.02,0.23234,0.3568,0.01609,0.87888,0.84733,0.92556,0.79027,0.19845,0.65829,0.01593,0.000458,0.000458,0.000458
34,2380.81,0.26915,0.35047,0.03078,0.79392,0.82433,0.90164,0.7509,0.2184,0.58347,0.01682,0.00043325,0.00043325,0.00043325
35,2452.42,0.25889,0.35467,0.01834,0.93229,0.91896,0.95917,0.83663,0.17599,0.52505,0.0135,0.0004085,0.0004085,0.0004085
36,2524.62,0.26453,0.35124,0.0203,0.93147,0.90701,0.96571,0.83064,0.17899,0.44012,0.01335,0.00038375,0.00038375,0.00038375
37,2596,0.28013,0.35599,0.01879,0.94376,0.93287,0.97606,0.86345,0.15707,0.38643,0.01175,0.000359,0.000359,0.000359
