epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.1123,0.79723,2.55625,0.81698,0.60564,0.80858,0.8267,0.70284,0.59518,1.4546,0.82773,0.000408654,0.000408654,0.000408654
2,19.7552,0.78726,1.21276,0.81981,0.90918,0.84216,0.94319,0.7882,0.63698,0.92713,0.83546,0.000808979,0.000808979,0.000808979
3,27.3228,0.75759,0.92991,0.81178,0.94633,0.95154,0.98355,0.82046,0.61734,0.69744,0.82704,0.0011928,0.0011928,0.0011928
4,34.913,0.7755,0.9115,0.81548,0.8373,0.9569,0.98142,0.82702,0.59549,0.72238,0.8224,0.00117575,0.00117575,0.00117575
5,42.409,0.80671,0.84167,0.81946,0.93814,0.89238,0.98349,0.80784,0.68212,0.70843,0.83495,0.001151,0.001151,0.001151
6,49.9604,0.78299,0.71449,0.82279,0.93487,0.92401,0.984,0.8374,0.59195,0.64249,0.82444,0.00112625,0.00112625,0.00112625
7,57.5686,0.73113,0.67943,0.81451,0.95466,0.98496,0.99066,0.84547,0.57638,0.5211,0.8255,0.0011015,0.0011015,0.0011015
8,65.1538,0.72054,0.61781,0.81007,0.92838,0.96644,0.99026,0.85604,0.5567,0.51344,0.81849,0.00107675,0.00107675,0.00107675
9,72.8438,0.75634,0.60087,0.80705,0.96256,0.97301,0.98756,0.8561,0.55739,0.46791,0.82047,0.001052,0.001052,0.001052
10,80.3144,0.72674,0.54164,0.81049,0.96519,0.96427,0.98692,0.86258,0.53923,0.4545,0.81735,0.00102725,0.00102725,0.00102725
11,87.9353,0.73682,0.54218,0.8086,0.95593,0.97925,0.98861,0.85288,0.5536,0.4426,0.82151,0.0010025,0.0010025,0.0010025
12,95.4755,0.67901,0.49167,0.80493,0.97117,0.9522,0.98871,0.87217,0.50792,0.42214,0.81338,0.00097775,0.00097775,0.00097775
13,103.015,0.67961,0.48922,0.80104,0.97649,0.95305,0.98973,0.85873,0.53372,0.43093,0.81394,0.000953,0.000953,0.000953
14,110.568,0.67158,0.46696,0.80543,0.95232,0.98955,0.98938,0.86256,0.5361,0.4269,0.81705,0.00092825,0.00092825,0.00092825
15,118.05,0.6547,0.46651,0.79801,0.99093,0.97128,0.99059,0.86463,0.55443,0.40036,0.81661,0.0009035,0.0009035,0.0009035
16,125.664,0.65808,0.46472,0.79909,0.97343,0.96391,0.99136,0.86295,0.54143,0.408,0.81693,0.00087875,0.00087875,0.00087875
17,133.27,0.66982,0.46826,0.79805,0.95432,0.97967,0.98959,0.86883,0.52867,0.38761,0.81277,0.000854,0.000854,0.000854
18,140.864,0.6687,0.44986,0.79923,0.93736,0.99159,0.9894,0.8568,0.5567,0.38924,0.81679,0.00082925,0.00082925,0.00082925
19,148.625,0.64519,0.43851,0.80244,0.97998,0.94803,0.9898,0.86431,0.53087,0.39309,0.81186,0.0008045,0.0008045,0.0008045
20,156.214,0.65433,0.4219,0.79694,0.94851,0.97192,0.99031,0.87574,0.51725,0.38893,0.81144,0.00077975,0.00077975,0.00077975
21,163.712,0.69786,0.43334,0.80641,0.98599,0.97937,0.99053,0.86797,0.51488,0.37136,0.81064,0.000755,0.000755,0.000755
22,171.331,0.64198,0.409,0.80049,0.98729,0.97619,0.99054,0.86987,0.51412,0.36288,0.81035,0.00073025,0.00073025,0.00073025
