query_idx,query_name,cnn_rank1_name,cnn_rank1_score,cnn_rank2_name,cnn_rank2_score,cnn_rank3_name,cnn_rank3_score,cnn_rank4_name,cnn_rank4_score,cnn_rank5_name,cnn_rank5_score
0,107_png.rf.f31cf99275d8de0c817398bad1fbb98c.jpg,142_png.rf.7094e2d69746d686d71b971d474ae84d.jpg,0.99847007,146_png.rf.8c716f42d6929f1b4c27cbfde0544e05.jpg,0.9980104,24_png.rf.76109e322271997766d83ebb01eba055.jpg,0.9977985,9t_png.rf.9fed287c2c696d2899ea436ef7e3d20d.jpg,0.9976754,7t_png.rf.d593f52ab7cb17881fddcaf5de468819.jpg,0.9975875
1,111_png.rf.573bdb8149674c4469ce560c651c6a48.jpg,23a_png.rf.c51e6e9452d0f5b24425c277e7e93085.jpg,0.9975994,171_png.rf.e0f78688a6d730302708d2eec60a4bdf.jpg,0.99733037,135_png.rf.8a27e2add3109c3d2fc762fd95669219.jpg,0.9966432,86_png.rf.ed680afb145347de62fa9e5dd2b90bbe.jpg,0.99647236,143_png.rf.4ddb999b17c98b304ca30654dfd0b01c.jpg,0.99594975
2,115_png.rf.ed51d53dd5c384b1f26a2b6ece52ad69.jpg,130_png.rf.21f92398160a76a64b948884e4c8103c.jpg,0.9989318,132_png.rf.071b2e2111df71728a6b770afd959117.jpg,0.998716,133_png.rf.a4164ecd79cdd480304adcf094cd17e3.jpg,0.99830127,160_png.rf.6f41e2456edd6888c9fae22813acc55e.jpg,0.9973253,153_png.rf.6e13f8c07bec12bd7e4094e6179bd363.jpg,0.99718577
3,118_png.rf.3e82e1f3d657302b61a62c113271b753.jpg,15a_png.rf.d7f7746ea5afb68e6b42346c4990fa43.jpg,0.9956973,1a_png.rf.17bf9820312efff2213b1d1b08ffad66.jpg,0.99472916,4a_png.rf.a6bb5c5706fd8628eb53d34a122cf441.jpg,0.994434,150_png.rf.d73327d3ac59114d003f79ec28e80c36.jpg,0.99435794,77_png.rf.255db85931c9fbf597fd7c63e341d1dc.jpg,0.9942577
4,134_png.rf.eafc70891a991c969df70bd817a63375.jpg,9t_png.rf.9fed287c2c696d2899ea436ef7e3d20d.jpg,0.99858797,5t_png.rf.8e895b792f2cfabbbbaf6eb62c6e2622.jpg,0.99825925,7t_png.rf.d593f52ab7cb17881fddcaf5de468819.jpg,0.9981992,6t_png.rf.3bfa7c04f03519e61d659108c308de32.jpg,0.99815917,131_png.rf.593310c39f8835ed0786033b6690de45.jpg,0.99794626
5,136_png.rf.e99c3dfd6e84ce294cdabc3bb5ee8a75.jpg,20t_png.rf.9c3224a237aafafb9884ca7c91a4ddb3.jpg,0.9980757,16t_png.rf.119ab55b2bf60739d833fe614cf03c92.jpg,0.9975921,153_png.rf.6e13f8c07bec12bd7e4094e6179bd363.jpg,0.99741185,7t_png.rf.d593f52ab7cb17881fddcaf5de468819.jpg,0.99722916,10t_png.rf.97c979f963b5a914b50a065e59ef3873.jpg,0.99722207
6,140_png.rf.6645e10bad5cf3f197b71ddb6b34e6b4.jpg,22f_png.rf.5f4dedb3e61ea2ced7d183a74035d313.jpg,0.9978999,119_png.rf.eff91a09289a82f634d7b231b06dbbdd.jpg,0.9960838,145_png.rf.223f80e4aff2b64f2711cd186532e118.jpg,0.9957815,129_png.rf.eb2bbec526ed5285770c494673de2c04.jpg,0.9957615,104_png.rf.759632d10d5cf129aab09f0968304a4e.jpg,0.99570966
7,144_png.rf.5c3890791bfecba0869eafb73fa3a4f5.jpg,19t_png.rf.379beff6ca036f9dfee92873c63e1c91.jpg,0.9983267,14t_png.rf.3c97b229d4e5a2823995bdb9dbd1db76.jpg,0.9981352,8t_png.rf.a49c210a8d59660de79ffdb07d55a6f6.jpg,0.9978379,124_png.rf.1c7ed97791213cc079fccc558f1ad959.jpg,0.99749357,125_png.rf.746e605d23baaa43560542b8554b714c.jpg,0.99746555
8,181_png.rf.23ccd3b4b31a6fef484f7f0d25cf89d7.jpg,175_png.rf.3bb291132648e4ddc6318584b8fab3f6.jpg,0.9974947,116_png.rf.d62651a8a8690338109c790bb5e036bd.jpg,0.99631333,109_png.rf.0d8042ff3ef7a93feb5a18be8a42ca80.jpg,0.99571943,164_png.rf.adf1d66e8c2fa71261ca3f1d6852fa16.jpg,0.9945136,14a_png.rf.81c6d6e6686127d4274b4b8bbf8256b7.jpg,0.9944516
9,185_png.rf.d2a971d3a33d7f290e313be493525277.jpg,156_png.rf.be7d3c328dad9ee7e3722259541a79d5.jpg,0.9973108,32_png.rf.1edd41098eb074d061f00c09470d90cf.jpg,0.99417895,39_png.rf.dc31e2cb0d05a0df89cfefc35ec71231.jpg,0.99307805,31_png.rf.0f21d20a8cd7c12cbb1222cd2070b345.jpg,0.99244225,40_png.rf.5bb1a2e7946b7a35cb9e87950cc508da.jpg,0.9910654
10,1_png.rf.8199e7f82efa196a0732a582c5d2472e.jpg,110_png.rf.9a38b6057e543f83b58aa59b9748688b.jpg,0.9801302,11t_png.rf.bfd0b31ac2643b2a5d526f315fbf1812.jpg,0.98002654,11f_png.rf.eb0169eccfb6b264a582491457ff37b6.jpg,0.9756787,8_png.rf.00b44beea89152bdea072ac458c5ec85.jpg,0.9682581,40_png.rf.5bb1a2e7946b7a35cb9e87950cc508da.jpg,0.9656974
11,21_png.rf.14a3f0eb3df1717c54de3445f3988524.jpg,34_png.rf.407889c8b2afe2a57c57461fa46b2d4f.jpg,0.9981651,114_png.rf.98b2144c25b9f48816abd7edb00f365c.jpg,0.9971406,6f_png.rf.4dcfc0c556af56e418f2226f40765059.jpg,0.9969501,25t_png.rf.28a806c6e73dff70dbdafd6d5343f0ff.jpg,0.9963276,152_png.rf.278ae564b1c981f43016889a9c3240e6.jpg,0.99586403
12,26_png.rf.58fd63888dc80d24e902a96995a31656.jpg,22t_png.rf.49863f3eafde9439e26908afffa544c8.jpg,0.99675226,119_png.rf.eff91a09289a82f634d7b231b06dbbdd.jpg,0.99512964,22f_png.rf.5f4dedb3e61ea2ced7d183a74035d313.jpg,0.99498034,129_png.rf.eb2bbec526ed5285770c494673de2c04.jpg,0.9937453,154_png.rf.9667f3add0f6a1d344745423a5d13882.jpg,0.993351
13,27_png.rf.b66e7ecbfb20811de556a247f42c24ec.jpg,34_png.rf.407889c8b2afe2a57c57461fa46b2d4f.jpg,0.99851596,152_png.rf.278ae564b1c981f43016889a9c3240e6.jpg,0.99823534,114_png.rf.98b2144c25b9f48816abd7edb00f365c.jpg,0.9978844,86_png.rf.ed680afb145347de62fa9e5dd2b90bbe.jpg,0.99742043,25t_png.rf.28a806c6e73dff70dbdafd6d5343f0ff.jpg,0.9944974
14,38_png.rf.5f7178d32f8c80830acba72ceaa53c52.jpg,10_png.rf.9b8c9cafc4edaba51d6fc14bc4ef7186.jpg,0.9947707,13_png.rf.6997e656c43b72e712856bc7557bedf9.jpg,0.9927372,63_png.rf.f5b4c1c38fa5fd80098db299a9f5f331.jpg,0.9899225,57_png.rf.03d3722260858e9a17b3a16291bd0103.jpg,0.9895195,75_png.rf.fec3448d8e1f00fd7d681730877c8e37.jpg,0.98809797
15,49_png.rf.34dd21e67336cfaacfc62268433a9c2d.jpg,74_png.rf.d4457ce90ae63f42842e5cc1f35d9425.jpg,0.9987807,20t_png.rf.9c3224a237aafafb9884ca7c91a4ddb3.jpg,0.99772674,153_png.rf.6e13f8c07bec12bd7e4094e6179bd363.jpg,0.9975228,130_png.rf.21f92398160a76a64b948884e4c8103c.jpg,0.9973491,42_png.rf.c6be4b18ac2a7d7c6e71b98132d5b411.jpg,0.99661916
16,52_png.rf.d9ef7051544ef241be7a8134959f3411.jpg,53_png.rf.855b0f59076e870a81b9fa99f43590a7.jpg,0.99875337,56_png.rf.d816086571a6166985bd89660706de3c.jpg,0.9969585,78_png.rf.e4113b07a8da6a1795e7bb7519fab19a.jpg,0.995036,59_png.rf.4a6785ea55d34bd60949327634ab613d.jpg,0.9935305,47_png.rf.bc20932b8fce905f2947cfc69dd6920c.jpg,0.9929715
17,58_png.rf.b94027c8488125d21180dde164fc71f6.jpg,48_png.rf.6d53741dd87298c5fedafc4e15fab214.jpg,0.9950814,75_png.rf.fec3448d8e1f00fd7d681730877c8e37.jpg,0.99501336,43_png.rf.68ae08a017d1928a4cef37867a7f3231.jpg,0.99132335,50_png.rf.383e95718229d46e0da9d8f13dff24d6.jpg,0.99064267,13_png.rf.6997e656c43b72e712856bc7557bedf9.jpg,0.9868925
18,94_png.rf.914de818a4ff0d086b7cb41abc8b95fd.jpg,89_png.rf.f6d530aecfb9a6a925bb6db4a606a529.jpg,0.9973424,154_png.rf.9667f3add0f6a1d344745423a5d13882.jpg,0.9959316,129_png.rf.eb2bbec526ed5285770c494673de2c04.jpg,0.9956862,128_png.rf.536c0efc16ea6cf15f4f2a6f280450cf.jpg,0.99530977,119_png.rf.eff91a09289a82f634d7b231b06dbbdd.jpg,0.9949482
19,9_png.rf.3a4164e5647feea77eb3062be7e65aea.jpg,0_png.rf.e35063c144cfd241454863d624cf01d3.jpg,0.99954045,95_png.rf.03182e61750c77320a1463bb756ed0cf.jpg,0.99922884,99_png.rf.980b3b82bd6f61bc422a234a44e95383.jpg,0.9960607,141_png.rf.29f059d54b07ead4d4680ae0a8a66ec4.jpg,0.9913983,163_png.rf.caf94b785a094d025843b480af8738cc.jpg,0.99133104
