query_idx,query_name,resnet_rank1_name,resnet_rank1_score,resnet_rank2_name,resnet_rank2_score,resnet_rank3_name,resnet_rank3_score,resnet_rank4_name,resnet_rank4_score,resnet_rank5_name,resnet_rank5_score
0,107_png.rf.f31cf99275d8de0c817398bad1fbb98c.jpg,120_png.rf.ad88298a705a565adab2f06fe083c434.jpg,0.9552439,25f_png.rf.e20424d4f5cc6ff760cbfa7767c3ec32.jpg,0.9546426,106_png.rf.28ee53acf89d9e7f17b2fb26185597a0.jpg,0.95391506,149_png.rf.9aba27d537b76bf911a1f4553acc6bc1.jpg,0.95119643,132_png.rf.071b2e2111df71728a6b770afd959117.jpg,0.950479
1,111_png.rf.573bdb8149674c4469ce560c651c6a48.jpg,166_png.rf.2a5fbe9b778584d26692a480bda6f22a.jpg,0.91557515,21a_png.rf.34ea0016904d75da861731071be2058f.jpg,0.9109063,108_png.rf.7bd2f9160e38391af93d2d6ebaaf966a.jpg,0.90939456,4a_png.rf.a6bb5c5706fd8628eb53d34a122cf441.jpg,0.9050407,162_png.rf.faeb269d920f46126201519c32565e6d.jpg,0.9044193
2,115_png.rf.ed51d53dd5c384b1f26a2b6ece52ad69.jpg,119_png.rf.eff91a09289a82f634d7b231b06dbbdd.jpg,0.9631241,25f_png.rf.e20424d4f5cc6ff760cbfa7767c3ec32.jpg,0.96088815,120_png.rf.ad88298a705a565adab2f06fe083c434.jpg,0.9516329,145_png.rf.223f80e4aff2b64f2711cd186532e118.jpg,0.94973266,132_png.rf.071b2e2111df71728a6b770afd959117.jpg,0.9491251
3,118_png.rf.3e82e1f3d657302b61a62c113271b753.jpg,162_png.rf.faeb269d920f46126201519c32565e6d.jpg,0.8961791,169_png.rf.db5c4e716dac3be45044ffb904f0202d.jpg,0.89358556,166_png.rf.2a5fbe9b778584d26692a480bda6f22a.jpg,0.8899377,172_png.rf.fcfccb64edd6563c971ed5aadc369851.jpg,0.8878366,170_png.rf.41755d44f9afc99e7cda8ff7b064d3e5.jpg,0.8855783
4,134_png.rf.eafc70891a991c969df70bd817a63375.jpg,150_png.rf.d73327d3ac59114d003f79ec28e80c36.jpg,0.97653604,6t_png.rf.3bfa7c04f03519e61d659108c308de32.jpg,0.97564036,131_png.rf.593310c39f8835ed0786033b6690de45.jpg,0.9746548,7t_png.rf.d593f52ab7cb17881fddcaf5de468819.jpg,0.9743446,8t_png.rf.a49c210a8d59660de79ffdb07d55a6f6.jpg,0.9737108
5,136_png.rf.e99c3dfd6e84ce294cdabc3bb5ee8a75.jpg,150_png.rf.d73327d3ac59114d003f79ec28e80c36.jpg,0.9780994,7t_png.rf.d593f52ab7cb17881fddcaf5de468819.jpg,0.9728668,147_png.rf.f75092db32c867f5974bd801ebff4919.jpg,0.9715861,138_png.rf.8f90a2d90a20d34006c446dc14a852c0.jpg,0.96909165,159_png.rf.301cd8292389a32360fcde7abf681cfe.jpg,0.9688829
6,140_png.rf.6645e10bad5cf3f197b71ddb6b34e6b4.jpg,142_png.rf.7094e2d69746d686d71b971d474ae84d.jpg,0.9723515,132_png.rf.071b2e2111df71728a6b770afd959117.jpg,0.9665101,120_png.rf.ad88298a705a565adab2f06fe083c434.jpg,0.9658961,133_png.rf.a4164ecd79cdd480304adcf094cd17e3.jpg,0.9625683,149_png.rf.9aba27d537b76bf911a1f4553acc6bc1.jpg,0.96173584
7,144_png.rf.5c3890791bfecba0869eafb73fa3a4f5.jpg,143_png.rf.4ddb999b17c98b304ca30654dfd0b01c.jpg,0.98465616,125_png.rf.746e605d23baaa43560542b8554b714c.jpg,0.9820824,124_png.rf.1c7ed97791213cc079fccc558f1ad959.jpg,0.97929716,5t_png.rf.8e895b792f2cfabbbbaf6eb62c6e2622.jpg,0.9789363,159_png.rf.301cd8292389a32360fcde7abf681cfe.jpg,0.97886
8,181_png.rf.23ccd3b4b31a6fef484f7f0d25cf89d7.jpg,178_png.rf.5087fa5324451e07d2ed4f3d0e39b8e7.jpg,0.8916882,188_png.rf.817e806abd4f5edc9588cc0dbf1a8616.jpg,0.8739001,141_png.rf.29f059d54b07ead4d4680ae0a8a66ec4.jpg,0.87054634,164_png.rf.adf1d66e8c2fa71261ca3f1d6852fa16.jpg,0.8527615,177_png.rf.44e0980f0a0137fa46f4a9ac8c51e603.jpg,0.8505757
9,185_png.rf.d2a971d3a33d7f290e313be493525277.jpg,187_png.rf.b5c19d9e137330a99f4a5885ac5c7d73.jpg,0.904161,154_png.rf.9667f3add0f6a1d344745423a5d13882.jpg,0.891944,178_png.rf.5087fa5324451e07d2ed4f3d0e39b8e7.jpg,0.8911474,170_png.rf.41755d44f9afc99e7cda8ff7b064d3e5.jpg,0.88344324,160_png.rf.6f41e2456edd6888c9fae22813acc55e.jpg,0.8831396
10,1_png.rf.8199e7f82efa196a0732a582c5d2472e.jpg,90_png.rf.cc19908ab37dc78235324d2e16614622.jpg,0.9255939,96_png.rf.99112aad2385b754f6a041d89282c4f9.jpg,0.9103051,92_png.rf.5436107fa80a186911267011f1bad05e.jpg,0.9023114,190_png.rf.24ed612fdc752703c31861be4bc95545.jpg,0.8022925,189_png.rf.35e0d3792b1aa85a1a2e55167fd0d8c5.jpg,0.76672244
11,21_png.rf.14a3f0eb3df1717c54de3445f3988524.jpg,34_png.rf.407889c8b2afe2a57c57461fa46b2d4f.jpg,0.95296633,18_png.rf.deca17bfe3ef6a0738238319d1dcdd71.jpg,0.9364346,20_png.rf.52c78aebcebbb16b65b30edf6e6dc4a5.jpg,0.92688674,25f_png.rf.e20424d4f5cc6ff760cbfa7767c3ec32.jpg,0.9204488,19_png.rf.9bdb39240f3b93c04a458babb9612353.jpg,0.9202721
12,26_png.rf.58fd63888dc80d24e902a96995a31656.jpg,25_png.rf.7e8991bbc403d6fbe9b9e6877ce5f38a.jpg,0.9833392,16_png.rf.691cc1c2ecb1a6b9e2b253b55ee31e37.jpg,0.9721413,40_png.rf.5bb1a2e7946b7a35cb9e87950cc508da.jpg,0.9700786,39_png.rf.dc31e2cb0d05a0df89cfefc35ec71231.jpg,0.96913207,42_png.rf.c6be4b18ac2a7d7c6e71b98132d5b411.jpg,0.96140105
