query_idx,query_name,vit_rank1_name,vit_rank1_score,vit_rank2_name,vit_rank2_score,vit_rank3_name,vit_rank3_score,vit_rank4_name,vit_rank4_score,vit_rank5_name,vit_rank5_score
0,107_png.rf.f31cf99275d8de0c817398bad1fbb98c.jpg,106_png.rf.28ee53acf89d9e7f17b2fb26185597a0.jpg,0.98038733,25f_png.rf.e20424d4f5cc6ff760cbfa7767c3ec32.jpg,0.9753398,130_png.rf.21f92398160a76a64b948884e4c8103c.jpg,0.9744779,132_png.rf.071b2e2111df71728a6b770afd959117.jpg,0.9742675,149_png.rf.9aba27d537b76bf911a1f4553acc6bc1.jpg,0.97343594
1,111_png.rf.573bdb8149674c4469ce560c651c6a48.jpg,161_png.rf.2436f2b0f85b3351121e334fce1ae80c.jpg,0.9542435,5a_png.rf.bae1d48b3d2d96a990799b836ecebcbb.jpg,0.9513488,86_png.rf.ed680afb145347de62fa9e5dd2b90bbe.jpg,0.9498714,162_png.rf.faeb269d920f46126201519c32565e6d.jpg,0.9443302,166_png.rf.2a5fbe9b778584d26692a480bda6f22a.jpg,0.94236076
2,115_png.rf.ed51d53dd5c384b1f26a2b6ece52ad69.jpg,130_png.rf.21f92398160a76a64b948884e4c8103c.jpg,0.9754471,25f_png.rf.e20424d4f5cc6ff760cbfa7767c3ec32.jpg,0.9752764,132_png.rf.071b2e2111df71728a6b770afd959117.jpg,0.97365636,128_png.rf.536c0efc16ea6cf15f4f2a6f280450cf.jpg,0.97351635,117_png.rf.8cc2251ee5c44b6bd3734b39795c7cc9.jpg,0.9730574
3,118_png.rf.3e82e1f3d657302b61a62c113271b753.jpg,166_png.rf.2a5fbe9b778584d26692a480bda6f22a.jpg,0.93954384,4a_png.rf.a6bb5c5706fd8628eb53d34a122cf441.jpg,0.93519896,21a_png.rf.34ea0016904d75da861731071be2058f.jpg,0.93192303,23a_png.rf.c51e6e9452d0f5b24425c277e7e93085.jpg,0.93177176,148_png.rf.ce6399c2c651b1e0c1ccbe0ed06b1038.jpg,0.9274966
4,134_png.rf.eafc70891a991c969df70bd817a63375.jpg,131_png.rf.593310c39f8835ed0786033b6690de45.jpg,0.9756938,125_png.rf.746e605d23baaa43560542b8554b714c.jpg,0.9711003,150_png.rf.d73327d3ac59114d003f79ec28e80c36.jpg,0.9704513,112_png.rf.9b08015f172aafbe456ed9d92cca77fe.jpg,0.9652817,127_png.rf.9f6501b0ba0e856cf6dd9e59f65ce574.jpg,0.95875216
5,136_png.rf.e99c3dfd6e84ce294cdabc3bb5ee8a75.jpg,112_png.rf.9b08015f172aafbe456ed9d92cca77fe.jpg,0.9790985,157_png.rf.27c930f4a54872dbae1acb7faf69b5af.jpg,0.9715107,150_png.rf.d73327d3ac59114d003f79ec28e80c36.jpg,0.9710116,7t_png.rf.d593f52ab7cb17881fddcaf5de468819.jpg,0.9681734,127_png.rf.9f6501b0ba0e856cf6dd9e59f65ce574.jpg,0.96542853
6,140_png.rf.6645e10bad5cf3f197b71ddb6b34e6b4.jpg,132_png.rf.071b2e2111df71728a6b770afd959117.jpg,0.97886807,145_png.rf.223f80e4aff2b64f2711cd186532e118.jpg,0.97778374,123_png.rf.c77820fd3abbca5d6265af63564f9564.jpg,0.974391,117_png.rf.8cc2251ee5c44b6bd3734b39795c7cc9.jpg,0.97421944,142_png.rf.7094e2d69746d686d71b971d474ae84d.jpg,0.97335637
7,144_png.rf.5c3890791bfecba0869eafb73fa3a4f5.jpg,7t_png.rf.d593f52ab7cb17881fddcaf5de468819.jpg,0.98080397,127_png.rf.9f6501b0ba0e856cf6dd9e59f65ce574.jpg,0.9806269,150_png.rf.d73327d3ac59114d003f79ec28e80c36.jpg,0.9796149,131_png.rf.593310c39f8835ed0786033b6690de45.jpg,0.97831416,125_png.rf.746e605d23baaa43560542b8554b714c.jpg,0.9781225
8,181_png.rf.23ccd3b4b31a6fef484f7f0d25cf89d7.jpg,141_png.rf.29f059d54b07ead4d4680ae0a8a66ec4.jpg,0.93504834,162_png.rf.faeb269d920f46126201519c32565e6d.jpg,0.88385516,178_png.rf.5087fa5324451e07d2ed4f3d0e39b8e7.jpg,0.88275605,18a_png.rf.6fd1e6c4251554864ca626ac2595e32d.jpg,0.88128155,15a_png.rf.d7f7746ea5afb68e6b42346c4990fa43.jpg,0.8784764
9,185_png.rf.d2a971d3a33d7f290e313be493525277.jpg,89_png.rf.f6d530aecfb9a6a925bb6db4a606a529.jpg,0.942165,154_png.rf.9667f3add0f6a1d344745423a5d13882.jpg,0.9300474,108_png.rf.7bd2f9160e38391af93d2d6ebaaf966a.jpg,0.9269486,179_png.rf.61fcb6e012295881e5f82e05b6d15283.jpg,0.9233014,2a_png.rf.d8a574394a3499846384d0e2f5162459.jpg,0.9232487
